gx,gy,gz,ax,ay,az,time,gesture_type,timestamp
0,0,0,0,0,0,34:35.5,tv-poke-04,149.85
0,0,0,0,0,0,34:35.5,tv-poke-04,149.9
0,0,0,0,0,0,34:35.5,tv-poke-04,149.95
0,0,0,0,0,0,34:35.5,tv-poke-04,150
0,0,0,0,0,0,34:35.5,tv-poke-04,150.05
-0.431257725,-0.524506211,0.374900341,-0.197202519,0.588323474,0.965529025,34:36.0,tv-poke-05,150.1
-0.431257725,-0.524506211,0.374900341,-0.197202519,0.588323474,0.965529025,34:36.0,tv-poke-05,150.15
0.43285498,-0.437391013,0.422964483,-0.153863832,0.781008363,0.955647409,34:36.1,tv-poke-05,150.2
-0.317852914,-0.560804248,0.767424166,-0.068103686,0.361255288,0.83890605,34:36.1,tv-poke-05,150.25
-0.765083134,-0.44465062,0.789854109,-0.008713635,0.246567398,0.833850324,34:36.2,tv-poke-05,150.3
-1.119672775,-0.402907908,-0.108945392,0.10983716,-0.30102694,0.955187798,34:36.2,tv-poke-05,150.35
-1.189951897,-0.437391013,-0.203471541,0.176106364,-0.333564132,0.98345387,34:36.3,tv-poke-05,150.4
-1.189951897,-0.437391013,-0.203471541,0.176106364,-0.333564132,0.98345387,34:36.3,tv-poke-05,150.45
-0.292296886,-0.050817214,-0.381308883,-0.105480433,-0.525556743,1.06802249,34:36.4,tv-poke-05,150.5
-0.218823358,-0.045372512,-0.370093912,-0.073836312,-0.494865656,1.075376272,34:36.4,tv-poke-05,150.55
0.172503084,-0.081670523,0.342857569,-0.003439615,-0.432098806,0.995633602,34:36.5,tv-poke-05,150.6
0.460008234,-0.074410915,0.885982394,0.0720018,-0.394484878,0.920716941,34:36.5,tv-poke-05,150.65
0.460008234,-0.074410915,0.885982394,0.0720018,-0.394484878,0.920716941,34:36.6,tv-poke-05,150.7
0.487161487,-0.063521512,0.902003765,0.131850451,-0.33817935,0.946684957,34:36.6,tv-poke-05,150.75
0.589385569,0.466429412,0.775434852,0.127952263,-0.214261025,0.905319929,34:36.7,tv-poke-05,150.8
0.341811687,0.246826455,0.107343256,0.132767677,0.041652203,0.89084214,34:36.7,tv-poke-05,150.85
0.182086587,0.488208205,-0.291589141,-0.066498548,0.288335025,1.014937282,34:36.8,tv-poke-05,150.9
0.290699661,0.658808827,-0.438985854,-0.157532722,0.476866245,0.999770105,34:36.8,tv-poke-05,150.95
0.290699661,0.658808827,-0.438985854,-0.157532722,0.476866245,0.999770105,34:36.9,tv-poke-05,151
0.474383503,0.196009248,-0.344459713,-0.038064703,0.646936595,1.048718691,34:36.9,tv-poke-05,151.05
0.667650819,-0.085300319,-0.286782742,-0.104333907,0.485635132,0.92025733,34:37.0,tv-poke-05,151.1
0.654872835,-0.112523824,-0.23391217,-0.093556561,0.473404825,0.910375655,34:37.0,tv-poke-05,151.15
0.854529202,-0.573508561,-0.522297025,-0.02568222,0.261566818,0.883947968,34:37.1,tv-poke-05,151.2
0,0,0,0,0,0,34:37.7,tv-poke-05,151.25
0,0,0,0,0,0,34:37.7,tv-poke-05,151.3
0,0,0,0,0,0,34:37.7,tv-poke-05,151.35
0,0,0,0,0,0,34:37.7,tv-poke-05,151.4
0,0,0,0,0,0,34:37.7,tv-poke-05,151.45
0,0,0,0,0,0,34:37.7,tv-poke-05,151.5
0,0,0,0,0,0,34:37.7,tv-poke-05,151.55
0,0,0,0,0,0,34:37.7,tv-poke-05,151.6
0,0,0,0,0,0,34:37.7,tv-poke-05,151.65
0,0,0,0,0,0,34:37.7,tv-poke-05,151.7
0,0,0,0,0,0,34:37.7,tv-poke-05,151.75
0,0,0,0,0,0,34:37.7,tv-poke-05,151.8
0,0,0,0,0,0,34:37.7,tv-poke-05,151.85
0,0,0,0,0,0,34:37.7,tv-poke-05,151.9
0,0,0,0,0,0,34:37.7,tv-poke-05,151.95
0,0,0,0,0,0,34:37.7,tv-poke-05,152
0,0,0,0,0,0,34:37.7,tv-poke-05,152.05
